model,layer_index,layer_ordinal,relative_depth,estimator,raw_or_pc,mechanism_a,mechanism_b,cosine
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,prefix_injection,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,prefix_injection,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,prefix_injection,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,prefix_injection,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,refusal_suppression,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,refusal_suppression,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,refusal_suppression,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,refusal_suppression,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,persona_roleplay,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,persona_roleplay,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,persona_roleplay,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,encoding_obfuscation,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,encoding_obfuscation,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,payload_splitting,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,prefix_injection,refusal_suppression,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,prefix_injection,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,prefix_injection,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,prefix_injection,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,prefix_injection,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,refusal_suppression,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,refusal_suppression,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,refusal_suppression,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,persona_roleplay,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,persona_roleplay,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,persona_roleplay,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,encoding_obfuscation,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,encoding_obfuscation,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,payload_splitting,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,prefix_injection,refusal_suppression,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,prefix_injection,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,prefix_injection,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,prefix_injection,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,prefix_injection,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,refusal_suppression,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,refusal_suppression,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,refusal_suppression,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,refusal_suppression,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,persona_roleplay,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,persona_roleplay,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,persona_roleplay,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,encoding_obfuscation,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,encoding_obfuscation,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,payload_splitting,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,prefix_injection,refusal_suppression,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,prefix_injection,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,prefix_injection,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,prefix_injection,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,prefix_injection,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,refusal_suppression,persona_roleplay,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,refusal_suppression,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,refusal_suppression,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,persona_roleplay,encoding_obfuscation,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,persona_roleplay,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,persona_roleplay,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,encoding_obfuscation,payload_splitting,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,encoding_obfuscation,distractors_negated,0.0
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,payload_splitting,distractors_negated,0.0
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,prefix_injection,refusal_suppression,0.9171872138977051
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,prefix_injection,persona_roleplay,0.5340691208839417
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,prefix_injection,encoding_obfuscation,0.2232951521873474
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,prefix_injection,payload_splitting,0.5177612900733948
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,prefix_injection,distractors_negated,0.33465731143951416
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,refusal_suppression,persona_roleplay,0.595541775226593
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,refusal_suppression,encoding_obfuscation,0.19917616248130798
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,refusal_suppression,payload_splitting,0.515258252620697
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,refusal_suppression,distractors_negated,0.38571256399154663
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,persona_roleplay,encoding_obfuscation,0.193342387676239
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,persona_roleplay,payload_splitting,0.45274776220321655
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,persona_roleplay,distractors_negated,0.3277647793292999
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,encoding_obfuscation,payload_splitting,0.2057817280292511
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,encoding_obfuscation,distractors_negated,0.033886201679706573
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,payload_splitting,distractors_negated,0.6690382361412048
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,prefix_injection,refusal_suppression,0.8418697714805603
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,prefix_injection,persona_roleplay,0.20659877359867096
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,prefix_injection,encoding_obfuscation,0.15716105699539185
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,prefix_injection,payload_splitting,0.251903235912323
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,prefix_injection,distractors_negated,0.16199281811714172
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,refusal_suppression,persona_roleplay,0.22039085626602173
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.06811469793319702
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,refusal_suppression,payload_splitting,0.20145027339458466
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,refusal_suppression,distractors_negated,0.14849574863910675
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,persona_roleplay,encoding_obfuscation,0.0951300710439682
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,persona_roleplay,payload_splitting,0.12576361000537872
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,persona_roleplay,distractors_negated,0.1148780807852745
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,encoding_obfuscation,payload_splitting,0.10572338104248047
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,encoding_obfuscation,distractors_negated,0.011782398447394371
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,payload_splitting,distractors_negated,0.5624922513961792
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,prefix_injection,refusal_suppression,0.9155164957046509
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,prefix_injection,persona_roleplay,0.5227888226509094
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,prefix_injection,encoding_obfuscation,0.2291174978017807
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,prefix_injection,payload_splitting,0.5077932476997375
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,prefix_injection,distractors_negated,0.3257501721382141
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,refusal_suppression,persona_roleplay,0.5892845988273621
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,refusal_suppression,encoding_obfuscation,0.2075510025024414
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,refusal_suppression,payload_splitting,0.5085965991020203
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,refusal_suppression,distractors_negated,0.3793870210647583
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,persona_roleplay,encoding_obfuscation,0.20245715975761414
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,persona_roleplay,payload_splitting,0.4442945420742035
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,persona_roleplay,distractors_negated,0.3234594464302063
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,encoding_obfuscation,payload_splitting,0.2107885330915451
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,encoding_obfuscation,distractors_negated,0.03509999439120293
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,payload_splitting,distractors_negated,0.6642621159553528
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,prefix_injection,refusal_suppression,0.8391673564910889
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,prefix_injection,persona_roleplay,0.20629145205020905
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,prefix_injection,encoding_obfuscation,0.1582593023777008
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,prefix_injection,payload_splitting,0.24943150579929352
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,prefix_injection,distractors_negated,0.1619867980480194
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,refusal_suppression,persona_roleplay,0.22001655399799347
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.070863276720047
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,refusal_suppression,payload_splitting,0.20257288217544556
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,refusal_suppression,distractors_negated,0.14792516827583313
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,persona_roleplay,encoding_obfuscation,0.0999574214220047
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,persona_roleplay,payload_splitting,0.12742842733860016
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,persona_roleplay,distractors_negated,0.12520956993103027
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,encoding_obfuscation,payload_splitting,0.10996745526790619
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,encoding_obfuscation,distractors_negated,0.013029215857386589
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,payload_splitting,distractors_negated,0.5554914474487305
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,prefix_injection,refusal_suppression,0.9165465235710144
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,prefix_injection,persona_roleplay,0.5252182483673096
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,prefix_injection,encoding_obfuscation,0.22632840275764465
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,prefix_injection,payload_splitting,0.5099866390228271
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,prefix_injection,distractors_negated,0.3267507255077362
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,refusal_suppression,persona_roleplay,0.5893887281417847
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,refusal_suppression,encoding_obfuscation,0.2025606781244278
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,refusal_suppression,payload_splitting,0.5092403888702393
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,refusal_suppression,distractors_negated,0.3797561228275299
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,persona_roleplay,encoding_obfuscation,0.19680505990982056
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,persona_roleplay,payload_splitting,0.4455457627773285
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,persona_roleplay,distractors_negated,0.3222195506095886
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,encoding_obfuscation,payload_splitting,0.20634755492210388
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,encoding_obfuscation,distractors_negated,0.0333523154258728
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,payload_splitting,distractors_negated,0.666551947593689
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,prefix_injection,refusal_suppression,0.8416352868080139
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,prefix_injection,persona_roleplay,0.2054005116224289
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,prefix_injection,encoding_obfuscation,0.15812747180461884
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,prefix_injection,payload_splitting,0.25063684582710266
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,prefix_injection,distractors_negated,0.16129347681999207
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,refusal_suppression,persona_roleplay,0.22009727358818054
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.06967304646968842
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,refusal_suppression,payload_splitting,0.20198389887809753
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,refusal_suppression,distractors_negated,0.148027241230011
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,persona_roleplay,encoding_obfuscation,0.09648379683494568
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,persona_roleplay,payload_splitting,0.1265927404165268
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,persona_roleplay,distractors_negated,0.11827435344457626
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,encoding_obfuscation,payload_splitting,0.10783302783966064
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,encoding_obfuscation,distractors_negated,0.013572676107287407
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,placebo_calibrated,payload_splitting,distractors_negated,0.5615531206130981
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,prefix_injection,refusal_suppression,0.8769822716712952
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,prefix_injection,persona_roleplay,0.6480966806411743
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,prefix_injection,encoding_obfuscation,0.21506735682487488
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,prefix_injection,payload_splitting,0.5915558338165283
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,prefix_injection,distractors_negated,0.4023667275905609
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,refusal_suppression,persona_roleplay,0.7180980443954468
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,refusal_suppression,encoding_obfuscation,0.21953558921813965
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,refusal_suppression,payload_splitting,0.5992958545684814
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,refusal_suppression,distractors_negated,0.4281219244003296
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,persona_roleplay,encoding_obfuscation,0.24044570326805115
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,persona_roleplay,payload_splitting,0.5778869390487671
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,persona_roleplay,distractors_negated,0.38389015197753906
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,encoding_obfuscation,payload_splitting,0.21344834566116333
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,encoding_obfuscation,distractors_negated,0.01348990947008133
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,raw,payload_splitting,distractors_negated,0.725957989692688
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,prefix_injection,refusal_suppression,0.7192233800888062
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,prefix_injection,persona_roleplay,0.22156350314617157
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,prefix_injection,encoding_obfuscation,0.09319751709699631
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,prefix_injection,payload_splitting,0.20255979895591736
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,prefix_injection,distractors_negated,0.1248910203576088
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,refusal_suppression,persona_roleplay,0.2864134907722473
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.0506262481212616
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,refusal_suppression,payload_splitting,0.18561513721942902
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,refusal_suppression,distractors_negated,0.09732561558485031
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,persona_roleplay,encoding_obfuscation,0.09960415214300156
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,persona_roleplay,payload_splitting,0.13673697412014008
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,persona_roleplay,distractors_negated,0.03637734055519104
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,encoding_obfuscation,payload_splitting,0.04352160543203354
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,encoding_obfuscation,distractors_negated,-0.08001115173101425
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,mean,placebo_calibrated,payload_splitting,distractors_negated,0.5757965445518494
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,prefix_injection,refusal_suppression,0.8754984736442566
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,prefix_injection,persona_roleplay,0.6403912305831909
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,prefix_injection,encoding_obfuscation,0.22456781566143036
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,prefix_injection,payload_splitting,0.5812910199165344
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,prefix_injection,distractors_negated,0.3906247615814209
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,refusal_suppression,persona_roleplay,0.7155860662460327
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,refusal_suppression,encoding_obfuscation,0.22991669178009033
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,refusal_suppression,payload_splitting,0.5943545699119568
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,refusal_suppression,distractors_negated,0.4257000684738159
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,persona_roleplay,encoding_obfuscation,0.2500587999820709
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,persona_roleplay,payload_splitting,0.5724813342094421
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,persona_roleplay,distractors_negated,0.38349080085754395
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,encoding_obfuscation,payload_splitting,0.22289690375328064
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,encoding_obfuscation,distractors_negated,0.021812807768583298
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,raw,payload_splitting,distractors_negated,0.7254546880722046
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,prefix_injection,refusal_suppression,0.7179738879203796
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,prefix_injection,persona_roleplay,0.22009548544883728
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,prefix_injection,encoding_obfuscation,0.09616469591856003
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,prefix_injection,payload_splitting,0.20174415409564972
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,prefix_injection,distractors_negated,0.12305842339992523
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,refusal_suppression,persona_roleplay,0.2864673435688019
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,refusal_suppression,encoding_obfuscation,0.05133327096700668
Qwen2.5-7B-Instruct,2,3,0.07407407407407407,median,placebo_calibrated,refusal_suppression,payload_splitting,0.19206643104553223
